sequence,company,city,state,acquirer,date_str,date,commodities_handled,note
N068,Alex Grossman & Co.,New York,New York,Harding Creamery Company,"""9/4/28""",1928-09-04,Butter; Buttermilk,
N069,Peoples Sanitary Dairy,Norristown,Pennsylvania,Supplee-Wills-Jones Milk Co.,"""9/6/28""",1928-09-06,Milk; Other Milk Products,
N070,Consumers Dairy Company,Union City,New Jersey,N.D.P.C.,"""10/1/28""",1928-10-01,Milk; Cream; Butter; Cheese; Other Milk Products,
N071,Keystone Dairy Company,Hoboken,New Jersey,N.D.P.C.,"""10/1/28""",1928-10-01,Milk; Cream; Ice Cream; Other Milk Products,
N072,Arctic Dairy Prod. Company,Detroit,Michigan,N.D.P.C.,"""10/29/28""",1928-10-29,Ice Cream; Cream; Milk; Butter; Other Milk Prodicts,
N073,Rockford Ice Cream Company,Grand Rapids,Michigan,N.D.P.C.,"""10/29/28""",1928-10-29,Ice Cream,
N074,General Ice Cream Corp.,Schenectady,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream; Milk,
N075,Albany Ice Cream Co. Inc.,Albany,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N076,Amsterdam Ice Cream Co. Inc.,Amsterdam,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N077,Binghamton Ice Cream Company,Binghamton,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N078,Cataract Ice Cream Company,Niagara Falls,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N079,Clayton Ice Cream Co. Inc.,(Clayton?),(New York?),N.D.P.C. (General Ice Cream Co.),"""11/5/28""",1928-11-05,Ice Cream,NDPC Annual Report 1928
N080,Coon Ice Cream Co. Inc.,Lewiston,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N081,Dolbey Ice Cream Co. Inc.,Providence,Rhode Island,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N082,"Eastern Dairies, Inc.",Springfield,Massachusetts,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N083,Elmira Ice Cream Co. Inc.,Elmira,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N084,Franklin Creameries Corp.,Springfield,Massachusetts,N.D.P.C.,"""11/5/28""",1928-11-05,Milk; Cream; Condensed Milk,
N085,Geneva Ice Cream Co. Inc.,Geneva,New York,(General Ice Cream?),"""11/5/28""",1928-11-05,Ice Cream,N.D.P.C. Annual Report
N086,Hoefler Ice Cream Co. Inc.,Buffalo,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N087,Hawe Ice Cream Co.,Rutland,Vermont,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N088,International Ice Cream Co.,Schenectady,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N089,Kent Ice Cream Co. Inc,Burlington,Vermont,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N090,Kirk-Maher Ice Cream Co.,Watertown,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N091,Lake Shore Ice Cream Co.,Erie,Pennsylvania,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N092,Made-Rite Ice Cream Co. Inc.,New Bedford,Pennsylvania,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N093,Mansion House Ice Cr. Company,East Cambridge,Massachusetts,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N094,New Haven Dairy Co.,Cambridge,Massachusetts,N.D.P.C.,"""11/5/28""",1928-11-05,Milk; Ice Cream,
N095,Norton Ice:eream Co.,Rutland,Vermont,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N096,"O. K. Ice Cream Company, Inc.",Binghamton,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N097,Oneonta Ice Cream Co. Inc.,Oneonta,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N098,Peerless Ice Cream Co.,Niagara Falls,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N099,Rochester Ice Cream Co. Inc.,(Rochester?),(New York?),N.D.P.C. (General Ice Cream Co.),"""11/5/28""",1928-11-05,Ice Cream,NDPC Annual Report 1928
N100,Lemon Ice Cream Co. Inc.,New Haven,Connecticut,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N101,Syracuse Ice Cream Co. Inc.,Syracuse,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N102,"Tait Brothers, Inc.",Springfield,Massachusetts,N.D.P.C.,"""11/5/28""",1928-11-05,Milk; Milk Products,
N103,"Taylor Creameries, Inc.",Buffalo,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Milk; Cream; Other Milk Products,
N104,Utica lee Cream Co. Inc.,Utica,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N105,Wagars' Inc.,Troy,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N106,What Cheer Creamery Co.,Providence,Rhode Island,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N107,Wheat's Ice Cream Co. Inc.,Buffalo,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N108,Fro-Joy Ice Cream Co. Inc.,Schenectady,New York,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N109,General Ice Cream Co. Ltd.,Ontario,_Canada,N.D.P.C.,"""11/5/28""",1928-11-05,Ice Cream,
N110,Baker-Evans Ice Cream Co.,Cleveland,Ohio,N.D.P.C.,"""11/12/28""",1928-11-12,Ice Cream,
N111,The Wilson Ice Cream Co.,Huntington,West Virginia,N.D.P.C.,"""11/12/28""",1928-11-12,Ice Cream,
N112,The Akon Pure Milk Co.,Akron,Ohio,N.D.P.C.,"""11/23/28""",1928-11-23,Milk; Cream; Other Milk Products,
N113,The Sanitary Milk Co.,Canton,Ohio,N.D.P.C.,"""11/23/28""",1928-11-23,Milk; Cream; Ice Cream; Other Milk Products,
N114,Simmons & Hammond Mfg. Co.,Portland,Maine,N.D.P.C.,"""12/21/28""",1928-12-21,Ice Cream; Cream,
N115,W. R. Bell,Homer City,Pennsylvania,Rieck-McJunkin Dairy Co.,"""12/27/28""",1928-12-27,Milk,
N116,O. P. Lanfer,Everett,Pennsylvania,Laher Ice Cream Co.,"""1/3/29""",1929-01-03,Ice Cream,
N117,The Ohio Cloverleaf Dairy Company,Toledo,Ohio,N.D.P.C.,"""1/10/29""",1929-01-10,Milk; Cream; Butter; Buttermilk,
N118,Chestnut Farms Dairy lnc.,Washington,D.C.,N.D.P.C.,"""1/15/29""",1929-01-15,Milk; Cream; Other Milk Products,
N119,J. D. Roszell Co.,Peoria,Illinois,N.D.P.C.,"""1/15/29""",1929-01-15,Milk; Ice Cream; Other Milk Products,
N120,"Wisconsin Creamery, Inc.",Milwaukee,Wisconsin,N.D.P.C.,"""1/18/29""",1929-01-18,Milk; Cream; Ice Cream; Butter; Other Milk Products,
N121,American Ice Cream Co.,Madison,Wisconsin,N.D.P.C.,"""1/18/29""",1929-01-18,Ice Cream,
N122,Bendfelt Ice Cream Co.,Milwaukee,Wisconsin,N.D.P.C.,"""1/18/29""",1929-01-18,Ice Cream,
N123,Blommer Ice Cream Co.,Milwaukee,Wisconsin,N.D.P.C.,"""1/18/29""",1929-01-18,Ice Cream,
N124,Cedarburg Dairy Co.,Cedarburg,Wisconsin,N.D.P.C.,"""1/18/29""",1929-01-18,Milk; Ice Cream,
N125,Waukesha Milk Company,Waukesha,Wisconsin,N.D.P.C.,"""1/18/29""",1929-01-18,Milk; Ice Cream,
N126,Consumers Dairy Co.,Jackson,Michigan,N.D.P.C.,"""1/24/29""",1929-01-24,Milk; Cream; Other Milk Products,
N127,Ebling Creamery Co.,Detroit,Michigan,N.D.P.C.,"""1/26/29""",1929-01-26,Milk; Cream; Butter; Other Milk Products,
N128,"City Dairies, Inc.",Detroit,Michigan,N.D.P.C.,"""1/26/29""",1929-01-26,Milk; Cream; Butter; Other Milk Products,
N129,Highland Park-Schlaff-Wilson Cr. Co.,Detroit,Michigan,N.D.P.C.,"""1/26/29""",1929-01-26,Milk; Cream; Butter; Other Milk Products,
N130,Highland Park Cr'y. Co.,Detroit,Michigan,N.D.P.C.,"""1/26/29""",1929-01-26,Milk; Cream; Butter; Other Milk Products,
N131,John Schiaff Creamery Co.,Detroit,Michigan,N.D.P.C.,"""1/26/29""",1929-01-26,Milk; Cream; Butter; Other Milk Products,
N132,The Wilson Creamery Co.,Detroit,Michigan,N.D.P.C.,"""1/26/29""",1929-01-26,Milk; Cream; Butter; Other Milk Products,
N133,Mayflower Ice Crftam Co.,Altoona,Pennsylvania,W. E. Hoffman Co.,"""1/28/29""",1929-01-28,Ice Cream,
N134,Citizens Dairy Co.,Flint,Michigan,Arctic Dairy Prod. Co.,"""1/30/29""",1929-01-30,Milk; Cream; Butter; Buttermilk,
N135,The Clover Dairy Co.,Wilmington,Delaware,N.D.P.C.,"""1/31/29""",1929-01-31,Milk; Cream; Butter; Other Milk Products,
N136,Bridgeman Dairy Co.,Flint,Michigan,Arctic Dairy Prod. Co.,"""2/1/29""",1929-02-01,Dairy Products,
N137,The Jersey Ice Cream Co.,Lawrence,Massachusetts,N.D.P.C.,"""2/1/29""",1929-02-01,Ice Cream,
N138,National Creamery Co.,Boston,Massachusetts,N.D.P.C.,"""2/1/29""",1929-02-01,Butter; Cheese; Eggs,
N139,Dies-Fertig Company,Dover,Ohio,The Telling Belle-Vernon Co.,"""2/19/29""",1929-02-19,Cheese,
N140,"John H. Muller Dairies, Inc.",New York,New York,"Muller Dairies, Inc. (operated under N.D.P.C.)","""2/20/29""",1929-02-20,Milk; Cream; Other Milk Products,
N141,"Fred H. Muller, Inc.",Long Island City,New York,"Muller Dairies, Inc. (operated under N.D.P.C.)","""2/20/29""",1929-02-20,Milk; Cream; Other Milk Products,
N142,The Shetler lee Cream Company,Bellaire,Ohio,N.D.P.C.,"""3/4/29""",1929-03-04,Ice Cream,
N143,"Sussex Dairy Farms Produc ts, Inc.",Westwood,New Jersey,Sheffield Farms Co. Inc.,"""4/10/29""",1929-04-10,Milk; Milk Products,
N144,Batavia Ice Cream Co. Inc.,Batavia,New York,General Ice Cream Corp.,"""4/11/29""",1929-04-11,Ice Cream,
N145,The Youngstown Sanitary Milk Co.,Youngstown,Ohio,N.D.P.C.,"""4/13/29""",1929-04-13,Milk; Cream; Ice Cream; Butter; Other Milk Products,
N146,The Ohio Pure Milk Co.,Youngstown,Ohio,N.D.P.C.,"""4/13/29""",1929-04-13,Milk; Cream; Butter; Other Milk Products,
N147,"W. R. Ruhlman & Son, Inc.",Toledo,Ohio,N.D.P.C.,"""4/13/29""",1929-04-13,Milk; Cream; Butter; Other Milk Products,
N148,Ohio-Toledo Ice Cream Co.,Toledo,Ohio,N.D.P.C.,"""4/18/29""",1929-04-18,Ice Cream,
N149,Findlay Dairy Co. Inc.,Toledo,Ohio,N.D.P.C.,"""4/18/29""",1929-04-18,Milk; Cream; Ice Cream; Butter; Other Milk Products,
N150,Hall's Ice Cream Co.,Juniata,Pennsylvania,The W. E. Hoffman Co.,"""4/30/29""",1929-04-30,Ice Cream,
N151,"Dodds-Alderney Dairy, Inc.",Buffalo,New York,N.D.P.C.,"""5/2/29""",1929-05-02,Milk; Cream,
N152,"Queen City Dairy Co., Inc.",Buffalo,New York,N.D.P.C.,"""5/2/29""",1929-05-02,Milk; Cream,
N153,Arctic Cream Co.,Fremont,Nebraska,N.D.P.C.,"""5/4/29""",1929-05-04,Ice Cream,
N154,Piper Ice Cr. Co. of Muskegon,Muskegon,Michigan,N.D.P.C.,"""5/8/29""",1929-05-08,Ice Cream (new company of same name organized to protect name),
N155,Supreme Ice Cream Co.,Detroit,Michigan,N.D.P.C.,"""5/13/29""",1929-05-13,Ice Cream,
N156,Louis M.Sagal,New Haven,Connecticut,N.D.P.C.,"""5/16/29""",1929-05-16,Milk; Ice Cream,
N157,Decatur Ice Cream Company,Decatur,Illinois,N.D.P.C.,"""5/23/29""",1929-05-23,Milk; Ice Cream; Butter,
N158,Foster's Dairy Prod.,Peoria,Illinois,N.D.P.C.,"""5/29/29""",1929-05-29,Ice Cream,
N159,Washington Dairy Co.,Peoria,Illinois,N.D.P.C.,"""5/29/29""",1929-05-29,Milk; Ice Cream; Butter; Other Milk Products,
N160,Louis Feingold,Bronx,New York,"Breakstone Bros., Inc.","""6/1/29""",1929-06-01,Whipped Butter,
N161,Loren D. Vidder,Royal Oak,Michigan,Eblign Creamery Co.,"""6/1/29""",1929-06-01,Milk,
N162,Cream Products Co.,Peoria,Illinois,N.D.P.C.,"""6/10/29""",1929-06-10,Ice Cream,
N163,The Detroit Creamery Company,Detroit,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Milk; Cream; Ice Cream; Butter; Other Milk Products,
N164,Clinton Creamery Co.,Elsie,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Milk; Cream; Condensed Milk; Other Milk Products,
N165,Fleming Ice Cream Co.,Jackson,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Ice Cream,
N166,Grand Rapids Creamery Company,Grand Rapids,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Milk; Cream; Butter; Other Milk Products,
N167,Allendale Creamery Co.,Allendale,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Cream; Butter,
N168,Sanitary Milk Co.,Grand Rapids,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Milk; Cream; Butter; Cheese,
N169,Square Deal Milk Company,Detroit,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Milk; Milk Products,
N170,Valley City Creamery,Grand Rapids,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Milk; Cream,
N171,Pontiac Dairy Co.,Pontiac,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Milk; Ice Cream; Butter; Other Milk Products,
N172,White Ice Cream Company,Flint,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Ice Cream,
N173,Williams Ice Cream Company,Saginaw,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Ice Cream; Ice Cream Mix; Milk; Cream,
N174,Wilson Ice Cream Co.,Port Huron,Michigan,N.D.P.C.,"""6/10/29""",1929-06-10,Ice Cream,
N175,Deerfoot Farms Co.,Southborough,Massachusetts,N.D.P.C.,"""6/11/29""",1929-06-11,Milk; Cream; Other Milk Products; Pork Products,
N176,Cameron Ice Cream Company,Lowell,Massachusetts,N.D.P.C.,"""6/12/29""",1929-06-12,Ice Cream,
N177,Sam Altschuler,Pittsburgh,Pennsylvania,Rieck-McJunkin Dairy Co.,"""6/15/29""",1929-06-15,Milk,
N178,"Anderson & Patterson, Inc.",Worcester,Massachusetts,N.D.P.C.,"""6/17/29""",1929-06-17,Ice Cream,
N179,Sinclair Ice Cream Co.,Galesburg,Illinois,N.D.P.C.,"""6/22/29""",1929-06-22,Ice Cream,
N180,The Bryant & Chapman Co.,Hartford,Connecticut,N.D.P.C.,"""6/25/29""",1929-06-25,Milk; Cream; Butter; Other Milk Products,
N181,Schupp Dairy Co.,Buffalo,New York,Dodds Alderney Dairy Co.,"""7/1/29""",1929-07-01,Milk,
N182,John H. Doscher Co.,New York,New York,"Muller Dairies, Inc. (operated under N.D.P.C.)","""7/17/29""",1929-07-17,Milk,
N183,The Ann Arbor Dairy Corp.,Ann Arbor,Michigan,N.D.P.C.,"""7/18/29""",1929-07-18,Milk; Cream; Ice Cream; Butter; Other Milk Products,
N184,Bowman Priebe Ovson Co.,Chicago,Illinois,N.D.P.C.,"""7/19/29""",1929-07-19,Packing; Freezing Eggs,
N185,National Ice Cream Co.,Louisville,Kentucky,N.D.P.C.,"""7/23/29""",1929-07-23,Milk; Cream; Ice Cream; Skim Milk,
N186,Maple Grove Farms,New York,New York,"Muller Dairies, Inc. (operated under N.D.P.C.)","""7/25/29""",1929-07-25,Milk,
N187,The Matthews Selected Dairies Co.,Cincinnati,Ohio,N.D.P.C.,"""8/6/29""",1929-08-06,Milk; Cream; Butter; Other Milk Products,
N188,Westphal & Sons Milk Prod. Co.,Hartford,Wisconsin,N.D.P.C.,"""8/14/29""",1929-08-14,Milk; Cream; Butter; Cheese,
N189,Satin Ice Cream Co.,Omaha,Nebraska,N.D.P.C.,"""8/26/29""",1929-08-26,Ice Cream,
N190,The Hiland Dairy Co.,Newport,Kentucky,N.D.P.C.,"""8/31/29""",1929-08-31,Milk; Cream; Butter; Cheese,
N191,Frechtling Dairy Co.,Hamilton,Ohio,N.D.P.C.,"""9/3/29""",1929-09-03,Milk; Cream; Ice Cream; Other Milk Products,
N192,A. & L. White Lily Dairy Co.,Belleville,Illinois,N.D.P.C.,"""9/6/29""",1929-09-06,Milk,
N193,Walter Burke,Pittsburgh,Pennsylvania,Rieck-McJunkin,"""9/16/29""",1929-09-16,Milk,
N194,A. L. Lockwood Ice Cream Corp.,Utica,New York,N.D.P.C.,"""9/19/29""",1929-09-19,Ice Cream,
N195,Feldman Milk & Cream Co.,Newport,Kentucky,N.D.P.C.,"""9/26/29""",1929-09-26,Milk; Cream; Ice Cream; Butter; Buttermilk; Cheese,
N196,Frozenpure Ice Crenm Co.,Louisville,Kentucky,N.D.P.C.,"""11/4/29""",1929-11-04,Ice Cream,
N197,The Kenmore Barberton Milk Co.,Kenmore,Ohio,N.D.P.C.,"""11/4/29""",1929-11-04,Milk; Cream; Cheese; Other Milk Products,
N198,Sugar Creek Creamery Co.,Danville,Illinois,N.D.P.C.,"""11/19/29""",1929-11-19,Butter; Milk; Cream; Other Milk Products,
N199,Golden Grain Butter Co.,Cape Girardeau,Missouri,N.D.P.C.,"""11/19/29""",1929-11-19,Butter; Cream,
N200,Lange Creamery Co.,Omaha,Nebraska,N.D.P.C.,"""11/19/29""",1929-11-19,Butter; Cream,
N201,Marshall Milk & Cream Co.,Marshall,Illinois,N.D.P.C.,"""11/19/29""",1929-11-19,Milk; Cream,
N202,Sugar Creek Butter Co.,Orlando,Florida,N.D.P.C.,"""11/19/29""",1929-11-19,Butter,
N203,Gray Von Allmen Sanitary Milk Co.,Louisville,Kentucky,N.D.P.C.,"""11/21/29""",1929-11-21,Milk; Butter; Cream; Other Milk Products,
N204,Belleville Pure Milk & Ice Cr. Co.,Belleville,Illinois,(N.D.P.C. ?),"""11/22/29""",1929-11-22,Milk; Cream; Ice Cream; Butter; Cheese,N.D.P.C. Annual Report
N205,D. H. Ewing's Sons,Louisville,Kentucky,N.D.P.C.,"""11/26/29""",1929-11-26,Milk; Cream; Butter; Cheese; Other Milk Products,
N206,Ott Dairy Co.,Cleveland,Ohio,N.D.P.C.,"""12/1/29""",1929-12-01,Milk; Cream,
N207,Highland Dairy Farms Co.,St. Louis,Missouri,N.D.P.C.,"""12/14/29""",1929-12-14,Milk; Cream; Butter; Cheese; Other Milk Products,
N208,"Creme-Freez, Inc.",Jamaica Plain,Massachusetts,General Ice Cream Corp.,"""12/16/29""",1929-12-16,Ice Cream,
N209,"Creme-Freez of Lynn, Inc.",Lynn,Massachusetts,General Ice Cream Corp.,"""12/16/29""",1929-12-16,Ice Cream,
N210,The Ideal Sweets Co.,Kankakee,Illinois,N.D.P.C.,"""12/30/29""",1929-12-30,Ice Cream,
N211,Plymouth Rock Tre Cream Co.,North Abington,Massachusetts,N.D.P.C.,"""12/31/29""",1929-12-31,Ice Cream,
N212,E. P. Kaufman,Youngstown,Ohio,Youngstown Sanitary Milk Co.,"""12/-/29""",1929-12-xx,Milk,
N213,Mike Paphul,Youngstown,Ohio,Youngstown Sanitary Milk Co.,"""12/-/29""",1929-12-xx,Milk,
N214,New Milford Milk Co.,New Milford,Pennsylvania,"Sheffield Farms Co., Inc.","""1/9/30""",1930-01-09,Milk,
N215,Schorr-Heinlein Dairy,Crafton,Pennsylvania,Rieck-McJunkin Dairy Co.,"""1/16/30""",1930-01-16,Milk,
N216,Blumer Products Co.,Monroe,Wisconsin,Allen Ice Cream Co.,"""1/31/30""",1930-01-31,Ice Cream; Beverages,
N217,Kraft-Phenix Cheese Corp.,Chicago,Illinois,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese; Dairy Prod.,
N218,Atlas Dry Milk Co.,Chico,California,N.D.P.C.,"""3/17/30""",1930-03-17,Dry Milk,
N219,Badger-Brodhead Cheese Co.,Monroe,Wisconsin,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese; Other Milk Products,
N220,Betz & Jay N. V. Kashandl,Rotterdam,_Holland,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese,
N221,Bitter-Root-Ravalli Dairy Prod. Co.,Hamilton,Montana,N.D.P.C.,"""3/17/30""",1930-03-17,Butter Cheese; Other Milk Products,
N222,Bradley Cheese Co.,Pittsburgh,Pennsylvania,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese; Mayonnaise,
N223,C. R. Cheney Co.,Los Angeles,California,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese; Salad Dressings,
N224,"Castles Products, Inc.",Los Angeles,California,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese; Salad Dressings,
N225,"Cloverleaf Creameries, Inc.",Decatur,Indiana,N.D.P.C.,"""3/17/30""",1930-03-17,Butter; Cheese; Ice Cream; Other Milk Products,
N226,Food Specialties Distributing Co.,Dayton,Ohio,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese; Mayonnaise,
N227,Gelfand Manufacturing Co.,Baltimore,Maryland,N.D.P.C.,"""3/17/30""",1930-03-17,Mayonnaise,
N228,Greenwood Dairy,Salem,Oregon,N.D.P.C.,"""3/17/30""",1930-03-17,Butter; Cheese,
N229,Grover-Ansted Cheese Co.,Toledo,Ohio,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese; Mayonnaise,
N230,Henard Mayonnaise Co.,Nashville,Tennessee,N.D.P.C.,"""3/17/30""",1930-03-17,Mayonnaise,
N231,Karlem-Bickelhaupt Co.,Rome,New York,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese,
N232,Kraft Cheese Co. Ltd.,Hayes,_England,N.D.P.C.,"""3/17/30""",1930-03-17,Cheese,
