sequence,company,city,state,acquirer,date_str,date,commodities_handled,note
N282,Jersey Ice Cream Co. Inc.,Schenectady,New York,N.D.P.C.,"""7/22/30""",1930-07-22,Ice Cream,
N283,Harry J. Sloan,Detroit,Michigan,Ebling Creamery Company,"""8/7/30""",1930-08-07,Milk,
N284,Omaha Ice Cream Co.,Omaha,Nebraska,Harding Cream Co.,"""8/16/30""",1930-08-16,Ice Cream,
N285,"Province Line Dairy, Inc.",Princeton,New Jersey,Supplee-Wills-Jones Milk Co.,"""8/30/30""",1930-08-30,Milk,
N286,Western Maryland Dairy Corp.,Baltimore,Maryland,N.D.P.C.,"""9/17/30""",1930-09-17,Milk; Cream; Butter; Cheese; Other Milk Products,
N287,"Millers Dairy, Inc.",Baltimore,Maryland,N.D.P.C.,"""9/25/30""",1930-09-25,Milk; Cream,
N288,Barrett Riedoni,Dowagiac,Michigan,N.D.P.C.,"""9/25/30""",1930-09-25,Milk; Ice Cream,
N289,"Chevy Chase Dairy, Inc.",Washington,D.C.,N.D.P.C.,"""10/11/30""",1930-10-11,Milk; Cream; Butter; Cheese; Other Milk Products,
N290,"Murray Hill Farms Dairy, Inc.",New York,New York,N.D.P.C.,"""10/16/30""",1930-10-16,Milk; Cream; Butter; Other Milk Products,
N291,Cyrus G. Lathers,Detroit,Michigan,N.D.P.C.,"""10/21/30""",1930-10-21,Milk,
N292,The Luxury Mayoinnaise Co.,New York,New York,N.D.P.C.,"""11/5/30""",1930-11-05,Mayonnaise,
N293,Ladysmith Cheese Co.,Freeport,Illinois,N.D.P.C.,"""12/11/30""",1930-12-11,Cheese,
N294,Henry Dister,Youngstown,Ohio,The Youngstown Sanitary Milk Co.,"""12/18/30""",1930-12-18,Milk,
N295,Capital Food Products Co.,Dallas,Texas,N.D.P.C.,"""1/10/31""",1931-01-10,Mayonnaise,
N296,W. H. Taro,Malone,New York,General Ice Cream Corp.,"""1/29/31""",1931-01-29,Ice Cream,
N297,"Purity Ice Cream A'Creamery Co., Inc.",Rome,Georgia,"Southern Dairies, Fla., Inc.","""1/31/31""",1931-01-31,Ice Cream; Milk,
N298,"Dalton Creamery Co., Inc.",Rome,Georgia,"Southern Dairies, Fla., Inc.","""1/31/31""",1931-01-31,Ice Cream; Milk,
N299,Acme Dairy,Baltimore,Maryland,"Miller's Dairy, Inc.","""2/4/31""",1931-02-04,Milk,
N300,E. J. Schwartz Distributing Co.,Rochester,New York,N.D.P.C.,"""2/7/31""",1931-02-07,Cheese; Mayonnaise,
N301,Jodrie Distributing Co.,Springfield,Massachusetts,Kraft-Phenix,"""3/7/31""",1931-03-07,Cheese; Mayonnaise,
N302,Joseph J. Senesky,Detroit,Michigan,Ebling Creamery Co.,"""3/7/31""",1931-03-07,Milk,
N303,Frederick Griesner,New York,New York,"Oakdale Dairy Co., Inc.","""3/11/31""",1931-03-11,Cheese,
N304,The Echo Vale Creamery Co.. Inc.,Bedford,Pennsylvania,Laher Ice Cream Co.,"""3/26/31""",1931-03-26,Milk; Milk Products,
N305,New Kingston Cheese Co. Inc.,New York,New York,"Breakstone Bros., Inc.","""4/1/31""",1931-04-01,Cream; Butter; Other Milk Products; Eggs,
N306,Eck & Fisher Ice Cream Company,Allentown,Pennsylvania,Supplee-Wills-Jones Milk Co.,"""4/20/31""",1931-04-20,Ice Cream,
N307,"Richmond Cooperative Assn., Inc.",Richmond,Vermont,General Ice Cr. Corp.,"""4/25/31""",1931-04-25,Ice Cream,
N308,The Miller Dairy Co.,New Canaan,Connecticut,N.D.P.C.,"""5/1/31""",1931-05-01,Milk; Cream,
